Date,Day_of_Week,Month,Year,Day_of_Year,Is_Weekend,Holiday_Flag,Temperature_C,Rainfall_mm,Humidity_pct,Evaporation_Rate_mm,Population,Household_Count,Urbanization_Index,Pump_Status,Total_Daily_Usage_ML,Treatment_Output_ML,Pressure_Level_bar,Reservoir_Level_pct,Per_Capita_Usage_L,Demand_Level
2020-01-28,1,1,2020,28,0,0,21.0,0.0,81.2,5.41,1002383,263785,0.7209,1,76.057,83.31,4.09,46.04,75.88,Low
2020-01-29,2,1,2020,29,0,0,19.6,0.0,82.2,6.05,1003355,264041,0.7171,1,75.822,78.62,4.31,44.52,75.57,Low
2020-01-30,3,1,2020,30,0,0,20.1,0.0,73.0,5.54,1000953,263409,0.7233,1,73.103,74.81,4.04,43.06,73.03,Low
2020-01-31,4,1,2020,31,0,0,19.7,3.1,83.2,5.65,1000314,263241,0.7157,1,71.37,76.2,3.93,41.79,71.35,Low
2020-02-01,5,2,2020,32,1,0,23.4,0.0,76.1,5.81,999525,263033,0.7163,1,73.562,77.01,3.96,40.32,73.6,Low
2020-02-02,6,2,2020,33,1,0,20.7,0.0,89.7,6.12,1002454,263804,0.7101,1,71.27,71.22,4.34,38.89,71.1,Low
2020-02-03,0,2,2020,34,0,0,19.2,0.0,83.5,5.01,999711,263082,0.721,1,76.146,85.41,3.99,37.37,76.17,Low
2020-02-04,1,2,2020,35,0,0,22.0,0.0,78.7,5.94,1005542,264616,0.7194,1,75.19,77.07,4.21,35.86,74.78,Low
2020-02-05,2,2,2020,36,0,0,19.0,0.0,76.8,5.62,999284,262969,0.7142,1,73.981,80.46,4.12,34.38,74.03,Low
2020-02-06,3,2,2020,37,0,0,21.2,0.0,79.8,5.82,1002501,263816,0.7212,1,77.242,83.63,4.25,32.84,77.05,Low
2020-02-07,4,2,2020,38,0,0,18.1,0.0,83.1,6.21,1005142,264511,0.7253,1,74.349,74.29,4.12,31.35,73.97,Low
2020-02-08,5,2,2020,39,1,0,19.1,0.0,79.7,5.33,1003261,264016,0.7191,1,71.633,72.21,4.6,30.0,71.4,Low
2020-02-09,6,2,2020,40,1,0,21.4,0.0,78.5,5.43,1002468,263807,0.7216,1,70.214,72.82,4.48,30.0,70.04,Low
2020-02-10,0,2,2020,41,0,0,22.3,0.0,79.6,5.09,1000234,263219,0.7216,1,81.438,82.91,4.04,30.0,81.42,Medium
2020-02-11,1,2,2020,42,0,0,21.5,0.0,76.1,5.67,999462,263016,0.7142,1,76.761,85.78,4.06,30.0,76.8,Low
2020-02-12,2,2,2020,43,0,0,21.2,0.0,77.1,6.44,1003820,264163,0.7305,1,80.64,84.07,4.56,30.0,80.33,Medium
2020-02-13,3,2,2020,44,0,0,21.0,0.0,68.2,5.89,1005346,264565,0.7179,1,81.617,88.37,3.92,30.0,81.18,Medium
2020-02-14,4,2,2020,45,0,0,19.3,0.0,83.2,5.42,1001511,263556,0.7235,1,74.623,79.9,4.15,30.0,74.51,Low
2020-02-15,5,2,2020,46,1,0,20.5,0.0,79.6,5.79,1000165,263201,0.7241,1,71.393,75.75,4.19,30.0,71.38,Low
2020-02-16,6,2,2020,47,1,0,21.0,0.0,74.0,5.41,997581,262521,0.7196,1,71.22,74.9,4.19,30.0,71.39,Low
2020-02-17,0,2,2020,48,0,0,23.3,0.0,87.1,5.58,1000590,263313,0.7233,1,80.785,88.54,3.83,30.0,80.74,Medium
2020-02-18,1,2,2020,49,0,0,22.4,0.0,77.7,6.21,1002378,263784,0.7215,1,80.864,82.43,4.17,30.0,80.67,Medium
2020-02-19,2,2,2020,50,0,0,19.3,0.0,71.9,5.6,1005858,264699,0.7132,1,81.045,90.28,3.94,30.0,80.57,Medium
2020-02-20,3,2,2020,51,0,0,22.5,0.0,81.0,6.54,1004061,264227,0.7186,1,82.744,83.02,4.29,30.0,82.41,Medium
2020-02-21,4,2,2020,52,0,0,21.5,0.0,78.5,6.08,1003379,264047,0.7172,1,82.831,89.32,3.85,30.0,82.55,Medium
2020-02-22,5,2,2020,53,1,0,21.2,0.0,78.2,6.17,1002023,263690,0.718,1,75.7,75.27,4.15,30.0,75.55,Low
2020-02-23,6,2,2020,54,1,0,23.2,0.0,73.8,6.04,1001711,263608,0.7138,1,74.265,77.03,3.82,30.0,74.14,Low
2020-02-24,0,2,2020,55,0,0,24.0,0.0,77.9,6.48,1005743,264669,0.7259,1,86.342,90.94,3.71,30.0,85.85,Medium
2020-02-25,1,2,2020,56,0,0,23.9,0.0,74.0,6.5,1003388,264049,0.7283,1,84.488,87.25,3.93,30.0,84.2,Medium
2020-02-26,2,2,2020,57,0,0,21.3,0.0,77.8,6.34,998836,262852,0.7252,1,80.301,83.77,3.99,30.0,80.39,Medium
2020-02-27,3,2,2020,58,0,0,22.2,0.0,65.2,6.45,1001748,263618,0.7267,1,82.303,82.26,4.3,30.0,82.16,Medium
2020-02-28,4,2,2020,59,0,0,23.3,0.0,72.3,6.16,1001433,263535,0.7186,1,80.967,82.05,4.08,30.0,80.85,Medium
2020-02-29,5,2,2020,60,1,0,24.4,0.0,82.7,6.48,1002111,263713,0.7171,1,80.114,85.61,4.29,30.0,79.95,Medium
2020-03-01,6,3,2020,61,1,0,22.3,0.0,70.0,6.14,1004384,264312,0.7164,1,74.823,78.65,4.09,30.0,74.5,Low
2020-03-02,0,3,2020,62,0,0,22.9,0.0,70.5,6.29,1003098,263973,0.7236,1,85.2,87.39,4.14,30.0,84.94,Medium
2020-03-03,1,3,2020,63,0,0,21.6,0.0,70.9,6.2,1003213,264003,0.7215,1,84.338,92.53,3.95,30.0,84.07,Medium
2020-03-04,2,3,2020,64,0,0,21.6,0.0,66.8,6.14,1006048,264749,0.72,1,81.226,81.63,3.97,30.0,80.74,Medium
2020-03-05,3,3,2020,65,0,0,24.7,0.0,61.5,6.06,1002083,263706,0.7268,1,87.308,90.59,3.75,30.0,87.13,Medium
2020-03-06,4,3,2020,66,0,0,25.6,0.0,71.1,6.54,1007259,265068,0.7224,1,84.598,87.31,4.1,30.0,83.99,Medium
2020-03-07,5,3,2020,67,1,0,23.6,0.0,72.6,6.89,1002242,263748,0.7162,1,81.828,87.76,4.12,30.0,81.64,Medium
2020-03-08,6,3,2020,68,1,0,25.3,0.0,71.3,6.84,1003818,264163,0.717,1,78.97,83.06,4.23,30.0,78.67,Low
2020-03-09,0,3,2020,69,0,0,24.5,0.0,70.5,5.88,1003131,263982,0.7238,1,88.709,92.82,4.05,30.0,88.43,Medium
2020-03-10,1,3,2020,70,0,0,23.1,0.0,71.1,6.91,1003995,264209,0.7256,1,88.488,87.38,4.32,30.0,88.14,Medium
2020-03-11,2,3,2020,71,0,0,24.7,0.0,75.7,6.28,1004692,264393,0.7231,1,91.75,98.93,4.01,30.0,91.32,Medium
2020-03-12,3,3,2020,72,0,0,26.6,0.0,69.3,6.66,1004724,264401,0.7299,1,90.413,94.28,4.14,30.0,89.99,Medium
2020-03-13,4,3,2020,73,0,0,24.4,0.0,67.1,6.06,1002405,263791,0.7286,1,84.064,88.61,4.01,30.0,83.86,Medium
2020-03-14,5,3,2020,74,1,0,26.9,0.0,68.2,6.49,1001720,263611,0.7226,1,86.52,88.6,3.9,30.0,86.37,Medium
2020-03-15,6,3,2020,75,1,0,20.7,0.0,72.2,6.57,1009026,265533,0.7162,1,80.23,81.52,4.21,30.0,79.51,Medium
2020-03-16,0,3,2020,76,0,0,26.0,0.0,76.0,5.86,1003107,263976,0.7139,1,92.405,101.52,3.96,30.0,92.12,Medium
2020-03-17,1,3,2020,77,0,0,25.0,0.0,65.5,6.7,1005527,264612,0.7185,1,92.321,91.62,4.1,30.0,91.81,Medium
2020-03-18,2,3,2020,78,0,0,24.6,0.0,68.8,7.0,1000968,263413,0.7242,1,85.716,86.84,4.1,30.0,85.63,Medium
2020-03-19,3,3,2020,79,0,0,25.3,0.0,69.6,6.4,1003679,264126,0.7296,1,90.695,99.67,3.87,30.0,90.36,Medium
2020-03-20,4,3,2020,80,0,0,22.3,4.4,62.6,7.02,1004038,264221,0.7225,1,85.717,91.93,4.2,30.0,85.37,Medium
2020-03-21,5,3,2020,81,1,0,25.1,0.0,67.3,6.41,1005292,264551,0.7263,1,88.359,91.8,3.89,30.0,87.89,Medium
2020-03-22,6,3,2020,82,1,0,26.1,0.0,59.6,6.83,998956,262883,0.7192,1,84.774,92.75,4.15,30.0,84.86,Medium
2020-03-23,0,3,2020,83,0,0,27.9,0.0,57.7,5.6,1004788,264418,0.7236,1,93.69,99.72,4.16,30.0,93.24,Medium
2020-03-24,1,3,2020,84,0,0,25.0,1.8,68.0,7.46,1002211,263740,0.7246,1,93.649,99.03,3.91,30.0,93.44,Medium
2020-03-25,2,3,2020,85,0,0,24.7,0.0,63.9,7.09,1005213,264530,0.7106,1,92.888,98.21,4.14,30.0,92.41,Medium
2020-03-26,3,3,2020,86,0,0,25.3,0.0,66.5,6.38,1002546,263828,0.7184,1,89.829,95.72,4.06,30.0,89.6,Medium
2020-03-27,4,3,2020,87,0,0,27.6,0.0,65.1,5.71,1002963,263938,0.7252,1,93.456,99.65,4.09,30.0,93.18,Medium
2020-03-28,5,3,2020,88,1,0,26.9,0.0,59.9,6.62,1004181,264258,0.7218,1,90.986,102.12,3.86,30.0,90.61,Medium
2020-03-29,6,3,2020,89,1,0,25.7,0.0,64.3,5.92,1002678,263863,0.7145,1,84.457,88.1,4.09,30.0,84.23,Medium
2020-03-30,0,3,2020,90,0,0,27.4,0.0,58.0,6.68,1003886,264181,0.7083,1,99.322,103.8,3.7,30.0,98.94,Medium
2020-03-31,1,3,2020,91,0,0,26.9,0.0,70.8,6.66,1002505,263817,0.7187,1,93.426,94.39,4.22,30.0,93.19,Medium
2020-04-01,2,4,2020,92,0,0,28.4,0.0,56.7,6.12,1001280,263495,0.7201,1,104.869,109.96,3.55,30.0,104.73,Medium
2020-04-02,3,4,2020,93,0,0,26.0,0.0,62.1,6.94,1007036,265009,0.7161,1,94.425,104.73,3.9,30.0,93.77,Medium
2020-04-03,4,4,2020,94,0,0,26.7,0.0,57.6,6.81,1002463,263806,0.7212,1,96.344,104.11,3.8,30.0,96.11,Medium
2020-04-04,5,4,2020,95,1,0,26.7,0.0,65.3,6.88,1004752,264408,0.723,1,90.479,93.37,4.1,30.0,90.05,Medium
2020-04-05,6,4,2020,96,1,0,25.3,0.0,60.4,6.49,1006670,264913,0.7239,1,105.868,111.25,4.13,30.0,105.17,Medium
2020-04-06,0,4,2020,97,0,0,28.0,0.0,59.2,5.91,1003988,264207,0.7087,1,100.191,101.31,4.0,30.0,99.79,Medium
2020-04-07,1,4,2020,98,0,0,28.1,0.0,65.7,6.87,1003623,264111,0.714,1,99.732,101.81,4.35,30.0,99.37,Medium
2020-04-08,2,4,2020,99,0,0,27.9,0.0,61.2,6.36,1005780,264679,0.719,1,99.474,104.9,3.7,30.0,98.9,Medium
2020-04-09,3,4,2020,100,0,0,27.6,0.0,63.3,5.91,1007618,265163,0.7234,1,98.621,102.07,3.72,30.0,97.88,Medium
2020-04-10,4,4,2020,101,0,0,26.0,0.0,55.5,7.0,1003098,263973,0.723,0,94.137,95.71,3.82,30.0,93.85,Medium
2020-04-11,5,4,2020,102,1,0,27.6,0.0,53.0,7.29,1005191,264524,0.7229,1,92.808,98.92,3.99,30.0,92.33,Medium
2020-04-12,6,4,2020,103,1,0,27.9,0.0,60.3,6.42,1002080,263705,0.7186,1,93.841,98.29,3.81,30.0,93.65,Medium
2020-04-13,0,4,2020,104,0,0,27.3,0.0,57.8,7.3,1004814,264425,0.7189,1,102.623,103.05,3.76,30.0,102.13,Medium
2020-04-14,1,4,2020,105,0,1,28.4,4.4,62.2,6.46,1005723,264664,0.7169,1,96.599,95.2,4.03,30.0,96.05,Medium
2020-04-15,2,4,2020,106,0,0,29.4,0.0,58.3,6.26,1004000,264211,0.7244,1,102.003,105.39,3.69,30.0,101.6,Medium
2020-04-16,3,4,2020,107,0,0,31.8,0.0,59.4,6.15,1004850,264434,0.716,1,103.998,104.43,3.69,30.0,103.5,Medium
2020-04-17,4,4,2020,108,0,0,29.4,0.0,50.0,7.05,1003002,263948,0.7248,1,98.107,97.41,3.86,30.0,97.81,Medium
2020-04-18,5,4,2020,109,1,0,29.6,0.0,67.2,6.07,1006027,264744,0.7216,1,98.219,106.52,3.87,30.0,97.63,Medium
2020-04-19,6,4,2020,110,1,0,29.3,0.0,56.6,6.66,1008038,265273,0.7204,1,114.006,119.41,3.91,30.0,113.1,High
2020-04-20,0,4,2020,111,0,0,26.6,0.0,60.6,6.13,1003787,264154,0.7173,1,103.541,107.92,3.73,30.0,103.15,Medium
2020-04-21,1,4,2020,112,0,0,29.6,0.0,52.6,6.16,1004791,264419,0.7138,1,104.78,109.45,3.74,30.0,104.28,Medium
2020-04-22,2,4,2020,113,0,0,29.9,0.0,58.0,6.74,1007096,265025,0.7174,1,104.544,106.36,3.94,30.0,103.81,Medium
2020-04-23,3,4,2020,114,0,0,33.6,2.1,49.7,6.16,1008569,265413,0.719,1,104.181,110.62,3.98,30.0,103.3,Medium
2020-04-24,4,4,2020,115,0,0,29.8,0.0,58.1,6.14,1003213,264003,0.7088,1,101.771,106.47,4.1,30.0,101.45,Medium
2020-04-25,5,4,2020,116,1,0,30.6,0.0,53.8,6.74,1005917,264715,0.7196,1,98.73,101.39,3.98,30.0,98.15,Medium
2020-04-26,6,4,2020,117,1,0,30.3,0.0,55.4,6.91,1006875,264967,0.7253,1,98.202,101.29,3.94,30.0,97.53,Medium
2020-04-27,0,4,2020,118,0,0,28.7,0.0,58.5,6.51,1006159,264779,0.7235,1,104.912,106.48,3.94,30.0,104.27,Medium
2020-04-28,1,4,2020,119,0,0,32.3,0.0,48.5,5.97,1001464,263543,0.7182,1,105.796,109.87,3.8,30.0,105.64,Medium
2020-04-29,2,4,2020,120,0,0,31.8,0.0,51.0,6.01,1007475,265125,0.7209,1,107.503,112.16,3.78,30.0,106.71,Medium
2020-04-30,3,4,2020,121,0,0,32.0,0.0,56.4,6.23,1009566,265675,0.7179,1,126.609,131.64,3.37,30.0,125.41,High
2020-05-01,4,5,2020,122,0,1,29.6,0.0,64.3,6.31,1006815,264951,0.7214,1,99.431,104.57,4.04,30.0,98.76,Medium
2020-05-02,5,5,2020,123,1,0,33.2,0.0,52.8,5.77,1004574,264362,0.7284,1,100.37,105.15,3.93,30.0,99.91,Medium
2020-05-03,6,5,2020,124,1,0,29.1,0.0,56.2,6.43,1005665,264649,0.7255,1,96.637,102.16,4.05,30.0,96.09,Medium
2020-05-04,0,5,2020,125,0,0,32.2,0.0,52.4,6.16,1010285,265864,0.7233,1,111.921,120.35,3.36,30.0,110.78,High
2020-05-05,1,5,2020,126,0,0,34.7,0.0,62.4,5.42,1008620,265426,0.7182,1,109.776,117.04,3.8,30.0,108.84,Medium
2020-05-06,2,5,2020,127,0,0,30.1,0.0,43.7,5.71,1008135,265299,0.7244,1,108.844,117.15,3.68,30.0,107.97,Medium
2020-05-07,3,5,2020,128,0,0,30.9,0.0,52.6,5.86,1007622,265164,0.7123,0,92.735,94.83,4.2,30.0,92.03,Medium
2020-05-08,4,5,2020,129,0,0,32.0,0.0,43.8,6.01,1005642,264643,0.7194,1,106.695,110.5,3.93,30.0,106.1,Medium
2020-05-09,5,5,2020,130,1,0,31.2,0.0,39.1,6.77,1006617,264899,0.7236,1,107.418,114.75,3.86,30.0,106.71,Medium
2020-05-10,6,5,2020,131,1,0,29.7,0.0,52.9,6.09,1006917,264978,0.7244,1,101.841,108.95,3.82,30.0,101.14,Medium
2020-05-11,0,5,2020,132,0,0,32.3,0.0,51.8,5.63,1008227,265323,0.7241,1,110.189,113.66,3.86,30.0,109.29,High
2020-05-12,1,5,2020,133,0,0,30.7,0.0,49.5,6.04,1010200,265842,0.7222,1,111.203,118.6,3.65,30.0,110.08,High
2020-05-13,2,5,2020,134,0,0,33.1,0.0,50.1,5.78,1009474,265651,0.7197,1,111.041,113.76,3.77,30.0,110.0,High
2020-05-14,3,5,2020,135,0,0,31.2,0.0,65.9,6.03,1004453,264330,0.7234,1,106.904,113.69,3.74,30.0,106.43,Medium
2020-05-15,4,5,2020,136,0,0,35.0,0.0,48.9,6.11,1007794,265209,0.716,1,109.655,115.06,4.14,30.0,108.81,Medium
2020-05-16,5,5,2020,137,1,0,31.6,0.0,52.5,6.33,1008874,265493,0.7165,1,106.502,107.67,4.06,30.0,105.57,Medium
2020-05-17,6,5,2020,138,1,0,32.4,0.0,46.5,5.81,1008693,265446,0.7211,1,102.84,106.68,4.03,30.0,101.95,Medium
2020-05-18,0,5,2020,139,0,0,34.2,0.0,51.0,6.45,1006251,264803,0.7216,1,113.43,125.65,3.54,30.0,112.73,High
2020-05-19,1,5,2020,140,0,0,31.2,0.0,48.1,6.13,1013393,266682,0.7116,0,94.416,99.75,4.09,30.0,93.17,Medium
2020-05-20,2,5,2020,141,0,0,33.5,0.0,47.0,5.46,1005065,264491,0.723,1,109.809,122.2,3.83,30.0,109.26,Medium
2020-05-21,3,5,2020,142,0,0,35.3,0.0,58.0,6.6,1005507,264607,0.7246,1,112.44,113.73,3.96,30.0,111.82,High
2020-05-22,4,5,2020,143,0,0,31.0,0.0,54.6,5.82,1008196,265315,0.7204,1,109.702,117.44,3.85,30.0,108.81,Medium
2020-05-23,5,5,2020,144,1,0,33.8,0.0,49.2,5.33,1012017,266320,0.7327,1,104.742,102.38,3.85,30.0,103.5,Medium
2020-05-24,6,5,2020,145,1,0,34.0,0.0,36.8,6.29,1006165,264780,0.7174,1,105.169,110.43,3.88,30.0,104.52,Medium
2020-05-25,0,5,2020,146,0,0,34.9,0.0,46.3,6.44,1007361,265095,0.719,1,114.214,121.82,3.49,30.0,113.38,High
2020-05-26,1,5,2020,147,0,0,31.9,0.0,61.4,5.56,1010102,265816,0.7188,1,114.966,123.23,3.64,30.0,113.82,High
2020-05-27,2,5,2020,148,0,0,31.9,7.4,46.6,5.35,1007966,265254,0.7204,1,113.518,116.8,3.82,30.0,112.62,High
2020-05-28,3,5,2020,149,0,0,34.8,0.0,53.1,5.45,1007387,265102,0.7192,1,113.03,121.8,3.94,30.0,112.2,High
2020-05-29,4,5,2020,150,0,0,34.5,0.0,54.6,5.77,1009242,265590,0.7138,1,110.397,114.32,3.71,30.0,109.39,High
2020-05-30,5,5,2020,151,1,0,34.5,0.0,48.3,5.97,1008711,265450,0.7181,1,109.086,114.05,3.8,30.0,108.14,Medium
2020-05-31,6,5,2020,152,1,0,34.8,0.0,42.9,5.66,1010281,265863,0.7203,1,107.4,111.47,3.59,30.0,106.31,Medium
2020-06-01,0,6,2020,153,0,0,33.3,0.0,34.8,5.44,1010858,266015,0.727,1,118.72,121.25,3.93,30.0,117.44,High
2020-06-02,1,6,2020,154,0,0,34.8,0.0,50.2,5.96,1008944,265512,0.7318,1,117.967,128.57,3.89,30.0,116.92,High
2020-06-03,2,6,2020,155,0,0,34.9,0.0,42.6,5.21,1008968,265518,0.7275,1,115.925,121.87,3.84,30.0,114.89,High
2020-06-04,3,6,2020,156,0,0,33.5,21.6,47.4,5.72,1008867,265491,0.717,1,106.186,114.76,3.9,30.0,105.25,Medium
2020-06-05,4,6,2020,157,0,0,37.4,0.0,40.1,5.16,1009472,265651,0.7174,1,116.929,125.91,3.96,30.0,115.83,High
2020-06-06,5,6,2020,158,1,0,35.4,0.0,44.9,5.41,1008659,265437,0.7201,1,110.527,113.15,3.67,30.0,109.58,High
2020-06-07,6,6,2020,159,1,0,33.0,0.0,46.3,5.16,1008602,265422,0.7298,1,116.553,126.03,3.6,30.0,115.56,High
2020-06-08,0,6,2020,160,0,0,35.9,0.0,47.4,5.15,1011051,266066,0.72,1,116.018,123.33,3.9,30.0,114.75,High
2020-06-09,1,6,2020,161,0,0,33.5,0.0,40.4,4.99,1011745,266249,0.7142,1,117.283,120.02,3.88,30.0,115.92,High
2020-06-10,2,6,2020,162,0,0,36.2,0.0,51.8,5.65,1005752,264672,0.7184,1,115.258,122.37,3.57,30.0,114.6,High
2020-06-11,3,6,2020,163,0,0,36.8,0.0,42.7,4.78,1008842,265485,0.7247,1,116.39,119.14,3.66,30.0,115.37,High
2020-06-12,4,6,2020,164,0,0,33.9,15.8,37.3,4.75,1007499,265131,0.7243,1,107.213,117.39,4.08,30.0,106.41,Medium
2020-06-13,5,6,2020,165,1,0,36.6,0.0,45.0,5.86,1008309,265344,0.7199,1,110.096,118.04,3.86,30.0,109.19,High
2020-06-14,6,6,2020,166,1,0,35.9,0.0,45.7,5.37,1009791,265734,0.7243,1,109.672,114.94,3.92,30.0,108.61,Medium
2020-06-15,0,6,2020,167,0,0,36.5,0.0,46.2,3.99,1010379,265889,0.7095,1,116.25,125.86,3.56,30.0,115.06,High
2020-06-16,1,6,2020,168,0,0,38.2,0.0,52.2,4.68,1008871,265492,0.7214,1,119.982,121.24,3.8,30.0,118.93,High
2020-06-17,2,6,2020,169,0,0,35.1,0.0,44.1,4.15,1005323,264559,0.7252,1,112.684,116.07,3.56,30.0,112.09,High
2020-06-18,3,6,2020,170,0,0,34.3,0.0,44.6,4.46,1007275,265072,0.7168,1,111.131,115.93,3.49,30.0,110.33,High
2020-06-19,4,6,2020,171,0,0,34.2,15.5,39.7,3.55,1011052,266066,0.7167,1,112.358,124.68,3.89,30.0,111.13,High
2020-06-20,5,6,2020,172,1,0,34.3,0.0,49.2,4.72,1003833,264167,0.7116,1,106.902,109.04,4.05,30.0,106.49,Medium
2020-06-21,6,6,2020,173,1,0,35.5,0.0,46.0,4.28,1011744,266248,0.7289,0,92.168,91.65,3.94,30.0,91.1,Medium
2020-06-22,0,6,2020,174,0,0,36.2,0.0,43.0,4.73,1010466,265912,0.7173,1,128.795,130.9,3.53,30.0,127.46,High
2020-06-23,1,6,2020,175,0,0,36.1,0.0,35.5,4.02,1012111,266345,0.7222,1,120.864,129.63,3.95,30.0,119.42,High
2020-06-24,2,6,2020,176,0,0,37.0,5.5,52.2,4.67,1009136,265562,0.724,0,96.0,99.02,3.91,30.0,95.13,Medium
2020-06-25,3,6,2020,177,0,0,35.8,0.0,38.9,4.44,1005465,264596,0.7285,1,113.372,118.56,3.76,30.0,112.76,High
2020-06-26,4,6,2020,178,0,0,38.0,0.0,42.0,5.17,1010503,265922,0.7202,1,115.726,123.8,4.0,30.0,114.52,High
2020-06-27,5,6,2020,179,1,0,35.4,12.3,46.8,5.1,1012247,266381,0.7183,1,109.173,114.16,3.76,30.0,107.85,Medium
2020-06-28,6,6,2020,180,1,0,39.9,0.0,39.0,4.81,1011601,266211,0.7218,1,115.289,121.67,3.65,30.0,113.97,High
2020-06-29,0,6,2020,181,0,0,36.8,0.0,37.5,4.33,1008481,265390,0.7274,1,116.753,124.2,3.85,30.0,115.77,High
2020-06-30,1,6,2020,182,0,0,34.6,0.2,34.4,5.23,1010035,265799,0.7201,1,118.097,122.71,3.61,30.0,116.92,High
2020-07-01,2,7,2020,183,0,0,34.3,0.0,48.7,3.78,1008851,265487,0.7162,1,113.326,118.49,3.75,30.0,112.33,High
2020-07-02,3,7,2020,184,0,0,36.7,0.0,42.4,3.8,1008332,265351,0.7133,1,116.604,123.16,3.54,30.0,115.64,High
2020-07-03,4,7,2020,185,0,0,35.6,0.0,59.8,4.29,1011937,266299,0.7149,1,113.336,121.61,3.79,30.0,112.0,High
2020-07-04,5,7,2020,186,1,0,37.0,0.0,40.2,5.2,1007685,265180,0.7253,1,110.842,114.01,3.8,30.0,110.0,High
